,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Visitation and Record Year by Park (1904 - Last Calendar Year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Park Name,Park Type,1904,1905,,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alaska Region,Denali NP & PRES,National Park,,,,,,,,,,,,,,,,,,,,7,34,62,206,533,651,802,"1,038",951,771,357,386,628,877,"1,073","1,378","1,487","2,262","1,201","1,688",5,12,0,19,"1,134","3,466","4,512","4,831","6,672","7,807","7,310","6,839","5,000","3,400","5,200","10,700","25,900","25,800","22,500","18,300","16,600","18,400","19,200","21,400","31,300","39,800","33,300","45,400","46,000","44,500","88,625","137,300","161,400","160,600","157,600","183,200","223,000","251,105","216,361","256,593","321,868","346,082","395,099","436,545","529,749","575,013","592,431","543,640","546,693","558,870","503,674","505,565","490,311","543,309","341,385","354,278","372,519","386,867","363,983","360,191","311,335","360,189","404,236","403,520","415,935","458,308","432,309","358,041","378,855","406,582","388,433","530,922","531,315","560,757","587,412","642,809","594,660","601,152","54,850","229,521"
,Gates of the Arctic NP & PRES,National Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,381","2,138","2,440","1,381","2,801","1,060","1,258",822,"1,010","1,154","2,116","2,245","1,726","7,074","6,448","6,949","8,266","8,166","11,278","4,505","6,648","5,075","10,282","9,459","9,982","10,942","11,397","9,975","10,840","11,623","10,899","11,012","12,669","10,745","10,047","11,177","9,591","10,518","2,872","7,362"
,Glacier Bay NP & PRES,National Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,200","3,600","5,100","1,300",900,"1,300","1,100",800,"1,000","1,800","4,900","8,300","13,500","16,000","29,700","17,900","18,300","25,400","50,500","50,600","56,700","88,400","81,500","91,032","95,005","85,071","90,354","92,057","108,297","130,943","136,877","130,926","148,756","150,270","186,427","203,653","211,424","242,276","250,614","252,265","304,374","347,046","403,512","442,607","384,684","380,114","408,143","366,319","353,686","359,829","413,382","438,211","418,911","438,361","444,530","431,986","454,337","500,590","500,727","551,353","520,171","547,057","597,915","672,087","5,748","89,768"
,Katmai NP & PRES,National Park,,,,,,,,,,,,,,,,,,,,,15,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,600,700,"1,100",600,600,300,700,500,800,900,"1,200","1,600","7,800","11,800","9,600","11,900","8,400","11,900","9,700","10,400","10,000","11,300","10,659","11,824","13,115","14,377","11,182","20,074","25,142","41,663","38,212","45,710","40,247","40,778","41,417","46,196","53,421","55,728",0,,"18,802","45,470","51,399","71,389","67,038","59,025","51,589","56,787","54,274","68,630","82,634","7,970","43,035","55,172","48,939","39,818","28,966","30,896","37,818","37,818","37,818","37,818","84,167","51,511","24,764"
,Kenai Fjords NP,National Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,118","24,048","30,703","35,758","54,296","60,428","59,017","75,557","66,115","107,041","108,130","189,712","209,516","230,657","274,034","306,164","263,948","290,673","254,790","262,353","251,799","243,719","244,232","258,297","251,630","284,604","272,190","218,358","297,596","346,852","281,279","283,502","270,666","296,697","346,534","303,598","321,596","356,601","115,882","411,782"
,Kobuk Valley NP,National Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,775","2,365","1,075","1,305","1,085",230,"2,275","1,970","2,586","2,795","2,829","2,816","2,781","2,781","2,781","2,781","5,550","6,309","2,646","4,217","4,046","4,006","4,744","5,037","3,005",847,"1,565","1,879","3,164","11,485","29,550","16,875",0,0,"15,500","15,500","14,937","15,766","11,185","11,540"
,Lake Clark NP & PRES,National Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,440","12,332","12,505","12,701","13,611","16,418","18,863","14,879","10,196","4,133","9,233","12,153","12,143","12,698","12,727","9,173","11,335","6,190","6,493","4,397","4,325","4,505","4,906","5,408","5,320","5,549","6,802","9,711","9,931","5,158","11,639","13,000","16,100","17,818","21,102","22,755","14,479","17,157","4,948","18,278"
,Wrangell-St. Elias NP & PRES,National Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,871","18,760","22,183","23,171","26,557","29,191","31,046","33,221","35,976","38,971","42,229","45,335","50,146","54,430","31,467","31,833","27,859","29,252","28,331","28,643","40,352","43,311","57,221","56,224","50,336","61,085","65,693","59,966","73,170","65,225","87,158","69,984","74,722","80,366","79,047","68,292","79,450","74,518","16,655","50,189"
Intermountain  Region,Arches NP,National Park,,,,,,,,,,,,,,,,,,,,,,,,,,,500,400,405,480,425,275,300,400,"1,000","1,448","1,775","2,512","3,737","1,205",776,642,682,"2,301","5,028","8,870","13,270","16,257","18,603","28,683","30,853","31,300","31,800","28,500","25,400","40,100","59,800","71,600","90,700","105,700","118,200","99,700","143,900","128,000","120,300","135,600","162,600","178,500","202,100","225,128","274,900","166,900","236,100","294,800","313,400","326,948","269,840","290,519","326,508","339,415","287,875","345,180","363,464","419,444","468,916","520,455","555,809","620,719","705,882","799,831","773,678","777,178","859,374","856,016","858,525","837,161","869,980","786,429","754,026","769,672","757,781","733,131","781,670","833,049","860,181","928,795","996,312","1,014,405","1,040,758","1,070,577","1,082,866","1,284,767","1,399,247","1,585,718","1,539,028","1,663,557","1,659,702","1,238,083","1,806,865"
,Big Bend NP,National Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,409","3,205","10,037","28,652","45,670","62,150","70,325","84,051","94,367","86,635","67,300","81,000","89,700","75,000","72,600","70,400","75,900","90,600","91,000","114,200","119,700","174,600","163,500","173,300","191,800","199,800","172,600","205,000","240,904","283,300","158,700","275,500","378,600","334,000","301,198","282,941","174,008","167,332","180,144","164,926","167,665","188,045","200,622","227,921","239,595","281,728","257,378","296,470","294,535","327,907","330,417","295,460","279,454","305,882","338,442","327,649","262,320","328,927","327,747","312,384","357,723","398,583","298,717","364,856","362,512","363,905","372,330","361,862","292,055","316,953","314,102","381,747","388,290","440,276","440,091","463,832","393,907","581,220"
